COORDENADAS 
-------------- 
202.67 	 363.62
203.50 	 452.38
241.00 	 474.25
261.00 	 488.62
1052.67 	 424.88
1124.75 	 448.62
1183.92 	 446.75
1188.50 	 435.50
1188.50 	 418.00
1167.67 	 404.25
1155.17 	 392.38
176.42 	 684.25
197.67 	 728.00
254.75 	 743.00
260.58 	 732.38
261.00 	 724.25
265.17 	 781.12
254.75 	 782.38
218.08 	 773.62
178.50 	 758.00
146.00 	 724.88
118.08 	 724.88
116.83 	 726.75
114.75 	 645.50
115.17 	 645.50
486.42 	 646.75
438.50 	 663.62
433.50 	 664.25
401.00 	 689.88
431.00 	 719.88
470.58 	 698.62
473.08 	 696.12
511.00 	 714.88
550.58 	 677.38
585.58 	 689.88
479.33 	 741.12
455.17 	 746.75
432.67 	 775.50
464.33 	 776.75
517.67 	 777.38
531.83 	 766.75
716.00 	 663.00
723.50 	 668.62
769.33 	 688.00
778.08 	 695.50
776.00 	 726.75
759.33 	 733.62
731.42 	 767.38
706.00 	 762.38
701.83 	 778.00
744.75 	 814.25
1109.33 	 728.00
1079.75 	 672.38
1353.50 	 721.12
1369.33 	 663.62
458.08 	 346.75
486.00 	 375.50
486.00 	 375.50
484.75 	 413.00
484.75 	 413.00
448.08 	 429.88
471.42 	 511.75
471.42 	 511.75
541.00 	 428.62
535.58 	 383.62
568.92 	 465.50
519.33 	 500.50
756.83 	 364.25
757.67 	 365.50
815.17 	 396.12
815.17 	 396.12
753.50 	 453.62
1379.33 	 403.00
1408.08 	 365.50
1433.92 	 400.50
1446.00 	 421.12
1446.42 	 421.75
1448.08 	 460.50
1411.83 	 436.75
1411.83 	 436.75
1417.25 	 466.12
1384.75 	 490.50
1384.33 	 491.12
1401.83 	 521.12
1401.83 	 523.62
1357.25 	 538.62
1357.25 	 538.62
1333.50 	 537.38
1293.08 	 496.12
1293.08 	 496.12
1344.75 	 482.38
1284.33 	 439.88
1290.17 	 387.38
1290.17 	 387.38
1303.08 	 341.75
1303.08 	 341.75
1686.42 	 354.25
1686.42 	 355.50
1736.83 	 360.50
1736.83 	 360.50
1685.17 	 391.12
1727.67 	 423.00
1784.33 	 348.00
1786.00 	 382.38
1786.00 	 382.38
1776.83 	 421.12
1806.00 	 432.38
1806.00 	 432.38
1816.83 	 432.38
1750.17 	 446.12
1750.17 	 446.12
1756.00 	 463.62
1756.00 	 464.88
1725.17 	 464.88
1725.17 	 464.88
1648.92 	 491.75
1648.50 	 405.50
1648.50 	 405.50
1651.00 	 372.38
1651.00 	 372.38
1606.42 	 391.75
1603.50 	 346.75
1602.25 	 346.12
1588.92 	 460.50
1588.50 	 460.50
1602.25 	 507.38
1602.25 	 507.38
1636.00 	 531.12
1636.00 	 531.12
1597.25 	 554.25
1597.25 	 554.25
1646.42 	 559.25
1646.42 	 559.25
1729.33 	 552.38
1729.75 	 551.75
164.75 	 128.62
198.50 	 194.25
290.17 	 137.38
294.75 	 246.12
174.75 	 241.12
173.50 	 241.75
88.08 	 198.62
88.08 	 198.62
446.42 	 153.62
446.83 	 153.62
503.92 	 186.12
503.92 	 186.75
416.00 	 227.38
380.58 	 99.88
446.42 	 263.62
446.83 	 263.62
542.25 	 266.12
